from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022012080860005,9022012080860005,1,,121120000304022919,121120000305569689
9022012080860005,9022012080860005,1,,121120000304024667,121120000300189127
9022012080860005,9022012080860005,1,,121120000304024703,121120000305569795
9022012080860005,9022012080860005,1,,121120000304025099,121120000300189181
9022012080860005,9022012080860005,1,,121120000304026119,121120000300189208
9022012080860005,9022012080860005,1,,121120000304022955,121120000305568676
9022012080860005,9022012080860005,1,,121120000304022991,121120000300189086
9022012080860005,9022012080860005,1,,121120000304022991,121120000305568736
9022012080860005,9022012080860005,1,,121120000304023027,121120000305568796
9022012080860005,9022012080860005,1,,121120000304023045,121120000300189102
9022012080860005,9022012080860005,1,,121120000304024811,121120000305569901
9022012080860005,9022012080860005,1,,121120000304026173,121120000305569276
9022012080860005,9022012080860005,1,,121120000304227771,121120000305568563
9022012080860005,9022012080860005,1,,121120000304228289,121120000305569742
9022012080860005,9022012080860005,1,,121120000304229535,121120000305569216
9022012080860005,9022012080860005,1,,121120000304022937,121120000300189070
9022012080860005,9022012080860005,1,,121120000304024883,121120000300189154
9022012080860005,9022012080860005,1,,121120000304024919,121120000305570007
9022012080860005,9022012080860005,1,,121120000304025027,121120000305570113
9022012080860005,9022012080860005,1,,121120000304025135,121120000305570219
9022012080860005,9022012080860005,1,,121120000304227875,121120000300189070
9022012080860005,9022012080860005,1,,121120000304228427,121120000305569848
9022012080860005,9022012080860005,1,,121120000304228841,121120000305570166
9022012080860005,9022012080860005,1,,121120000304229025,121120000305570272
9022012080860005,9022012080860005,1,,121120000304229443,121120000305569156
9022012080860005,9022012080860005,1,,121120000304230041,121120000305569576
9022012080860005,9022012080860005,1,,121120000304230239,121120000305568616
9022012080860005,9022012080860005,1,,121120000304023063,121120000305568856
9022012080860005,9022012080860005,1,,121120000304026137,121120000305569216
9022012080860005,9022012080860005,1,,121120000304026227,121120000300189235
9022012080860005,9022012080860005,1,,121120000304229259,121120000305570325
9022012080860005,9022012080860005,1,,121120000304229351,121120000305570378
9022012080860005,9022012080860005,1,,121120000304228565,121120000305569954
9022012080860005,9022012080860005,1,,121120000304228703,121120000305570060
9022012080860005,9022012080860005,1,,121120000304229489,121120000300189208
9022012080860005,9022012080860005,1,,121120000304230133,121120000305569636
9022012080860005,9022012080860005,1,,121120000304894289,121120000304862686
9022012080860005,9022012080860005,1,,121120000304894739,121120000304863028
9022012080860005,9022012080860005,1,,121120000304894889,121120000304863142
9022012080860005,9022012080860005,1,,121120000304894939,121120000304891721
9022012080860005,9022012080860005,1,,121120000304895039,121120000304863256
9022012080860005,9022012080860005,1,,121120000304895339,121120000304863484
9022012080860005,9022012080860005,1,,121120000304897139,121120000304891667
9022012080860005,9022012080860005,1,,121120000304897439,121120000304891721
9022012080860005,9022012080860005,1,,121120000304894189,121120000304891586
9022012080860005,9022012080860005,1,,121120000304895189,121120000304863370
9022012080860005,9022012080860005,1,,121120000304894439,121120000304862800
9022012080860005,9022012080860005,1,,121120000304894489,121120000304891640
9022012080860005,9022012080860005,1,,121120000304895239,121120000304891775
9022012080860005,9022012080860005,1,,121120000304896239,121120000304891505
9022012080860005,9022012080860005,1,,121120000304896839,121120000304891613
9022012080860005,9022012080860005,1,,121120000304897289,121120000304891694
9022012080860005,9022012080860005,1,,121120000304897739,121120000304891775
9022012080860005,9022012080860005,1,,121120000304900037,121120000304891095
9022012080860005,9022012080860005,1,,121120000304900191,121120000304891147
9022012080860005,9022012080860005,1,,121120000304900268,121120000304891173
9022012080860005,9022012080860005,1,,121120000304900499,121120000304891251
9022012080860005,9022012080860005,1,,121120000304901029,121120000304862060
9022012080860005,9022012080860005,1,,121120000304901178,121120000304862188
9022012080860005,9022012080860005,1,,121120000304901778,121120000304861576
9022012080860005,9022012080860005,1,,121120000304902478,121120000304891358
9022012080860005,9022012080860005,1,,121120000304902678,121120000304862380
9022012080860005,9022012080860005,1,,121120000304902678,121120000304891385
9022012080860005,9022012080860005,1,,121120000304903366,121120000304890949
9022012080860005,9022012080860005,1,,121120000304896389,121120000304891532
9022012080860005,9022012080860005,1,,121120000304896539,121120000304891559
9022012080860005,9022012080860005,1,,121120000304897589,121120000304891748
9022012080860005,9022012080860005,1,,121120000304898638,121120000304860705
9022012080860005,9022012080860005,1,,121120000304899244,121120000304860876
